,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,11419,Toncoin,TON,toncoin,154,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,11,3414166606.0,6747606738.913774,,2023-10-10T09:29:00.000Z,1.9763554382658541,21657592.94018725,38.3989,-0.3445689,-3.93255827,-3.40545048,12.4578338,57.39884691,47.18917069,6782638590.909342,0.6315,9975769746.78,,2023-10-10T09:29:00.000Z,,,,,,2023-10-10 15:02:53.654151
11,4943,Dai,DAI,multi-collateral-dai,2657,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-10-10T09:29:00.000Z,0.9996846668136652,86485704.89091386,14.7981,-0.0468779,0.00837628,0.01328743,-0.04015259,0.04664488,0.01387869,5346202228.995347,0.4977,5346202229.0,,2023-10-10T09:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-10-10 15:02:53.654151
12,3890,Polygon,MATIC,polygon,992,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",10000000000.0,9299803030.71938,10000000000.0,False,,13,,,,2023-10-10T09:30:00.000Z,0.5316250304745331,273680201.2681644,33.4303,-0.10557672,-3.51737117,-6.78996958,0.81545683,-22.26681272,-27.69644557,4944008069.613346,0.4603,5316250304.75,,2023-10-10T09:30:00.000Z,,,,,,2023-10-10 15:02:53.654151
13,6636,Polkadot,DOT,polkadot-new,589,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1232335897.640525,1364595254.9457052,True,,14,,,,2023-10-10T09:29:00.000Z,3.839033850709644,108529908.43795517,62.2888,-0.39904308,-2.54762249,-7.2633867,-8.34126267,-23.11738057,-26.84335412,4730979226.486631,0.4404,5238727376.25,,2023-10-10T09:29:00.000Z,,,,,,2023-10-10 15:02:53.654151
14,2,Litecoin,LTC,litecoin,1005,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73745276.72358888,84000000.0,False,,15,,,,2023-10-10T09:30:00.000Z,63.29977243221926,225722756.85260338,38.5338,-0.16261871,-1.70074388,-4.46054205,2.77971738,-23.55490142,-34.71548017,4668059234.554212,0.4346,5317180884.31,,2023-10-10T09:30:00.000Z,,,,,,2023-10-10 15:02:53.654151
15,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1401,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",,163106.47401407,163106.47401407,False,,16,,,,2023-10-10T09:30:00.000Z,27657.649230105224,72951379.3160643,0.436,-0.08386967,-0.39526312,0.24205341,7.0436803,-5.86656997,-9.95301634,4511141645.440421,0.42,4511141645.44,,2023-10-10T09:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-10-10 15:02:53.654151
16,1831,Bitcoin Cash,BCH,bitcoin-cash,781,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19527450.0,19527450.0,False,,17,,,,2023-10-10T09:30:00.000Z,218.19039114346714,176508082.80787355,54.7157,-0.28759227,-3.19367048,-9.5753121,15.17297576,-4.17736188,-23.20901464,4260701953.5344973,0.3967,4581998214.01,,2023-10-10T09:30:00.000Z,,,,,,2023-10-10 15:02:53.654151
17,1975,Chainlink,LINK,chainlink,1346,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,556849970.4527867,1000000000.0,False,,18,,,,2023-10-10T09:30:00.000Z,7.357968409650386,244654775.63685855,1.7137,-0.06626873,-2.7308339,-4.03859336,20.47076954,-2.4039426,17.63244376,4097284491.5063553,0.3815,7357968409.65,,2023-10-10T09:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2023-10-10 15:02:53.654151
18,5994,Shiba Inu,SHIB,shiba-inu,670,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589346914631298.1,589589040239379.6,False,,19,,,,2023-10-10T09:29:00.000Z,6.942338339652504e-06,107064971.27177887,71.6655,-0.2404447,-2.28331988,-5.05709737,-6.60643153,-30.48187728,-7.84319885,4091445680.800772,0.3809,4093126598.69,,2023-10-10T09:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-10-10 15:02:53.654151
19,5805,Avalanche,AVAX,avalanche,525,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'layer-1']",720000000.0,354525384.1948652,431901564.1948652,False,,20,,,,2023-10-10T09:29:00.000Z,9.698402432650509,165868038.40383086,44.7926,-0.97005112,-2.39560039,3.51294135,1.7372043,-22.02411445,-26.54574406,3438329848.511837,0.3201,6982849751.51,,2023-10-10T09:29:00.000Z,,,,,,2023-10-10 15:02:53.654151
0,1,Bitcoin,BTC,bitcoin,10488,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19509606.0,19509606.0,False,,1,,,,2023-10-10T14:55:00.000Z,27446.11959855651,10374546848.950602,2.6446,0.27137501,-0.19643068,0.35339807,6.47658726,-6.9284529,-10.95457677,535462979596.7157,50.1487,576368511569.69,,2023-10-10T14:55:00.000Z,,,,,,2023-10-10 20:26:43.399625
1,1027,Ethereum,ETH,ethereum,7518,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120250549.97124174,120250549.97124174,True,,2,,,,2023-10-10T14:55:00.000Z,1575.5893205908094,6129044018.70639,27.8524,0.11387717,-1.0161628,-4.42619099,-2.91940727,-14.95769034,-16.9774703,189465482329.85995,17.7444,189465482329.86,,2023-10-10T14:55:00.000Z,,,,,,2023-10-10 20:26:43.399625
2,825,Tether USDt,USDT,tether,63353,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83494944357.81573,86625667477.82788,True,,3,,,,2023-10-10T14:55:00.000Z,1.0002501517074127,18679137013.5138,11.0778,0.00658624,0.01041653,0.02668059,0.04468911,0.10996305,0.00676349,83515830760.70717,7.8164,86647337036.45,,2023-10-10T14:55:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-10-10 20:26:43.399625
3,1839,BNB,BNB,bnb,1670,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153845445.255075,153845445.255075,False,,4,,,,2023-10-10T14:55:00.000Z,207.7714585003405,516712523.9300155,72.1301,0.33463099,0.04001024,-2.65743268,-2.28755948,-13.69818627,-16.04346697,31964692544.28122,2.9917,31964692544.28,,2023-10-10T14:55:00.000Z,,,,,,2023-10-10 20:26:43.399625
4,52,XRP,XRP,xrp,1108,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53387299665.0,99988380689.0,False,,5,,,,2023-10-10T14:55:00.000Z,0.49571734111869725,713985575.8039203,-17.3839,0.1884922,-1.11283473,-2.69362768,-0.44761628,-21.64130877,4.58477613,26465010239.440918,2.4786,49571734111.87,,2023-10-10T14:55:00.000Z,,,,,,2023-10-10 20:26:43.399625
5,3408,USDC,USDC,usd-coin,14382,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25372584607.97612,25372584607.97612,False,,6,,,,2023-10-10T14:55:00.000Z,1.0001424549683833,2558655790.9946494,17.5222,0.01450444,0.01130317,0.01524683,0.01253197,-0.01236186,-0.00441046,25376199058.714252,2.3766,25376199058.71,,2023-10-10T14:55:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-10-10 20:26:43.399625
6,5426,Solana,SOL,solana,534,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,414379192.0222843,559508444.9286923,True,,7,,,,2023-10-10T14:55:00.000Z,22.24827586660442,275406155.178594,-2.3732,0.28198444,-0.03965637,-7.09942278,22.53665116,-10.2857266,-1.73087607,9219222577.492428,0.8635,12448098232.47,,2023-10-10T14:55:00.000Z,,,,,,2023-10-10 20:26:43.399625
7,2010,Cardano,ADA,cardano,943,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35151022078.762,36244287752.866,False,,8,,,,2023-10-10T14:55:00.000Z,0.24915171386072935,116268896.42895432,7.0713,-0.12662643,-0.82186891,-4.70569037,0.00358496,-15.86985182,-15.09052849,8757937394.87989,0.8197,11211827123.73,,2023-10-10T14:55:00.000Z,,,,,,2023-10-10 20:26:43.399625
8,74,Dogecoin,DOGE,dogecoin,803,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141355096383.70526,141355096383.70526,True,,9,,,,2023-10-10T14:55:00.000Z,0.05886459186507372,153466398.41362295,-22.037,0.26181435,-0.18683518,-4.20586128,-4.23184499,-22.39720058,-9.85237461,8320810056.674969,0.7793,8320810056.67,,2023-10-10T14:55:00.000Z,,,,,,2023-10-10 20:26:43.399625
9,1958,TRON,TRX,tron,847,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88982764964.99402,88982911516.33072,True,,10,71659659264.0,6192575039.755169,,2023-10-10T14:55:00.000Z,0.08641647341555476,145782946.4295282,1.2386,0.29018297,0.36445051,-1.16475731,10.5997321,12.10717011,10.88413526,7689576743.039964,0.7202,7689589407.49,,2023-10-10T14:55:00.000Z,,,,,,2023-10-10 20:26:43.399625
10,11419,Toncoin,TON,toncoin,154,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,11,3414166606.0,6841637369.317119,,2023-10-10T14:55:00.000Z,2.003896751053021,19776358.45316752,-1.4297,0.57725394,0.08669662,-1.22530933,13.25367111,57.78918801,48.97457595,6877157404.346287,0.6436,10114786135.01,,2023-10-10T14:55:00.000Z,,,,,,2023-10-10 20:26:43.399625
11,4943,Dai,DAI,multi-collateral-dai,2658,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-10-10T14:55:00.000Z,0.9993271293462659,94250272.85094602,7.787,0.01699056,-0.0189673,0.063848,-0.03892882,-0.05493969,-0.09747487,5344290158.450891,0.5006,5344290158.45,,2023-10-10T14:55:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-10-10 20:26:43.399625
12,3890,Polygon,MATIC,polygon,993,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",10000000000.0,9299803030.71938,10000000000.0,False,,13,,,,2023-10-10T14:55:00.000Z,0.5234342736606228,261970011.8625576,10.8926,0.21478867,-2.16304401,-6.83987528,0.11256361,-23.56135962,-29.5255555,4867835644.571457,0.4556,5234342736.61,,2023-10-10T14:55:00.000Z,,,,,,2023-10-10 20:26:43.399625
13,6636,Polkadot,DOT,polkadot-new,589,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1232395994.29551,1364655351.60069,True,,14,,,,2023-10-10T14:55:00.000Z,3.823711175273868,88099351.75360459,-6.8402,0.35568946,-0.86850706,-6.86953969,-7.94986041,-23.61424596,-27.25185792,4712326335.750492,0.441,5218047918.31,,2023-10-10T14:55:00.000Z,,,,,,2023-10-10 20:26:43.399625
14,2,Litecoin,LTC,litecoin,1005,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73746164.22358888,84000000.0,False,,15,,,,2023-10-10T14:55:00.000Z,62.94514114579868,185890817.65464216,-5.1204,0.09148206,-0.52330207,-3.89435017,3.11460102,-24.53015013,-35.22470197,4641962716.015051,0.4347,5287391856.25,,2023-10-10T14:55:00.000Z,,,,,,2023-10-10 20:26:43.399625
15,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1401,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",,163106.47401407,163106.47401407,False,,16,,,,2023-10-10T14:55:00.000Z,27480.5722225214,60160735.34296901,-24.7116,0.27772314,-0.00359743,0.36637638,6.54886008,-6.83933856,-9.62233758,4482259239.104461,0.4199,4482259239.1,,2023-10-10T14:55:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-10-10 20:26:43.399625
